day,month,year,obs,ACCESS1,CCSM4,CNRM,MPI-REMo,MPI,SMHI
30,3,1976,0,0.192398667,4.413949966,3.00962162,2.00E-06,0,0
31,3,1976,0,0,6.321464539,1.535018921,0.000547284,0,0
1,4,1976,0,0.079284921,2.889143229,1.387969017,0.189289574,0.078891777,0
2,4,1976,0,3.28555727,0.107175678,0.951641798,0.00051418,1.589801431,0
3,4,1976,0,2.357815742,0.3338992,23.45392418,0.071599039,1.74870348,0
4,4,1976,0,53.97636032,0,0,0.479425387,7.555525303,0
5,4,1976,0,61.18837738,0,0.035931222,12.05756259,9.057435989,0
6,4,1976,0,8.84018898,0,1.417784929,27.21451744,13.22558117,0
7,4,1976,0,7.024377823,0,2.604975224,20.08339162,1.799894691,0
8,4,1976,0,7.266106606,0,3.322416782,16.52639899,0.480041504,0.988769531
9,4,1976,0,3.683014393,1.600036621,1.799987793,73.18599913,153.5236359,0
10,4,1976,23,3.995037079,0.843423367,0.042343836,37.86499528,0.834106445,0
11,4,1976,0,28.1024971,0.070904359,0,23.5899495,0,0.494384766
12,4,1976,14,4.41147995,0.97060287,0,26.4315756,0.977522731,1.400756836
13,4,1976,0,2.132814884,7.169848442,0,21.04647104,1.119995117,0
14,4,1976,0,1.349833608,28.42477036,0,0.053232377,0.637951255,0
15,4,1976,10,0.05661957,3.133554935,0.118981354,1.33E-06,1.907349825,0
16,4,1976,6,0.695403934,1.284934998,0.901822686,5.50E-09,1.354112387,0
17,4,1976,0,13.87975693,0.971941471,2.914509296,0.000157864,1.571641922,0
18,4,1976,0,8.925616264,3.566298246,2.511845112,1.939240261,0.317855954,0.247192383
19,4,1976,0,5.271737099,4.276013374,1.974747658,9.67E-05,1.918681026,5.355834961
20,4,1976,0,2.819678783,4.066111088,0.604170799,9.11E-10,0.990281165,3.089904785
21,4,1976,6,2.004203796,5.55860424,0.240545884,5.87E-10,0.251629442,1.235961914
22,4,1976,17,2.148110867,6.176762581,0,0.002860233,0.562754631,16.47949219
23,4,1976,0,1.718238473,7.160888672,0.595596552,0.000820543,0,20.26977539
24,4,1976,0,1.420968771,2.96069932,38.49389267,1.02E-09,0.200012207,3.625488281
25,4,1976,0,1.317782402,0.702190638,18.94538116,0.06827649,1.16003418,0
26,4,1976,7,2.396615744,0.407126248,64.22475433,2.72451028,24.09991646,0
27,4,1976,12,99.81354523,0.760037541,0.999950767,1.378595922,21.20555878,0
28,4,1976,0,7.659643173,0.148019537,36.23880768,1.99E-05,55.61136627,2.966308594
29,4,1976,0,86.38665771,0.644866586,2.999690771,0.00270606,88.12948608,3.625488281
30,4,1976,2,25.48278809,1.488632441,3.169144869,0.016526636,118.3248444,4.943847656
1,5,1976,0,10.02583694,1.594956636,1.507643461,0.000364286,103.2079926,3.872680664
2,5,1976,7,7.004629135,1.656208634,2.057729483,0.030339519,95.36500549,46.925354
3,5,1976,0,1.53381598,3.179992676,0.555186987,3.520479484,115.3828125,50.63323975
4,5,1976,0,1.29251945,4.85332346,0.051495615,15.2515593,60.55839157,31.640625
5,5,1976,10,0.765385211,3.980041504,4.431280613,54.76312581,237.5342865,55.20629883
6,5,1976,17,1.942750931,6.770018578,2.764473915,42.10398607,170.5793304,14.50195313
7,5,1976,73,3.536103725,4.320007324,5.267591,10.71950281,20.9499836,2.471923828
8,5,1976,33,4.745893955,1.646127343,10.79796124,39.41024188,2.420043945,0.329589844
9,5,1976,4,3.45265007,3.879905701,8.900587082,24.92221445,4.761658192,1.483154297
10,5,1976,44,2.162148952,0.837551355,9.464035034,12.02462423,1.794297099,0.164794922
11,5,1976,31,0.731385052,0.868497252,14.94829273,67.31482297,4.002221584,0
12,5,1976,2,1.264562726,30.41815948,42.15836334,12.66899812,0,0
13,5,1976,11,1.300545454,35.40160751,23.8475399,17.30903783,1.103476524,0
14,5,1976,2,2.639867306,1.2923913,11.32827187,2.373576444,9.434627533,0.659179688
15,5,1976,0,89.14060974,49.32475281,16.19817734,9.117564582,11.49669075,17.63305664
16,5,1976,54,1.600036621,79.0717392,44.55332565,27.63637444,4.782254696,11.37084961
17,5,1976,0,18.71674728,4.672002316,4.999630451,30.65227037,4.640336514,16.14990234
18,5,1976,5,2.183216095,3.330129385,44.06509018,26.36123048,0.565787435,13.51318359
19,5,1976,8,19.8380127,19.05830765,9.07463932,19.38793799,5.780029297,4.943847656
20,5,1976,0,1.019691706,13.99597549,3.792191982,6.866373564,3.579028368,12.0300293
21,5,1976,2,74.10334015,122.9616852,4.505616188,5.370508111,20.67808533,5.603027344
22,5,1976,0,9.903305054,58.7505455,0.816272676,14.36878648,81.76774597,0
23,5,1976,24,3.112943649,6.597566605,0.356857955,24.47956698,382.8857727,0
24,5,1976,8,4.76503706,11.82686234,0.100036621,41.8969715,14.08574963,0
25,5,1976,0,2.440002441,2.793422222,0.260009766,38.40938732,21.22041512,0.659179688
26,5,1976,0,5.837495804,1.763480425,1.630359888,40.11444245,13.59984779,4.449462891
27,5,1976,8,3.93825984,5.319199562,3.571243048,8.808865165,20.98995972,3.831481934
28,5,1976,50,3.122067451,23.16269875,1.650380969,0.851553638,26.38063431,2.059936523
29,5,1976,28,8.218806267,7.853167534,2.570007801,0.001718601,23.97048187,5.850219727
30,5,1976,5,34.14269257,2.035161495,1.386923075,0.320848606,2.670289516,3.872680664
31,5,1976,11,7.965618134,2.041188717,2.147600174,4.075696121,77.36965942,6.427001953
1,6,1976,32,0.076549359,3.481430054,5.31060648,0.248289993,70.77945709,4.078674316
2,6,1976,21,116.0924225,3.645423889,3.444177866,6.428833189,2.10020566,10.05249023
3,6,1976,57,65.41112518,203.9959869,2.112163782,0.214990905,10.01721954,6.921386719
4,6,1976,3,28.59380722,29.82879448,28.66347694,8.401559992,8.650504112,2.142333984
5,6,1976,2,5.73995018,105.0823364,51.15313721,10.46229489,12.24105835,0
6,6,1976,0,26.06344223,15.27285194,6.808050156,26.99800283,10.54781628,0
7,6,1976,26,25.33042908,9.765487671,2.937948704,33.09802758,3.091034889,0.247192383
8,6,1976,109,34.44391632,7.479197502,0.935062885,52.88928263,6.350464821,0.741577148
9,6,1976,36,83.69017792,13.74421215,6.858519554,39.38329071,6.158922195,3.54309082
10,6,1976,42,149.5341492,16.02363396,10.49293232,65.81301559,10.04255199,5.191040039
11,6,1976,74,0.380004883,7.917709351,0.720031738,1.245296473,29.07264137,34.44213867
12,6,1976,82,67.53132629,9.787195206,31.10490799,14.49637078,15.32661057,53.64074707
13,6,1976,183,84.94894409,39.80078125,12.579422,2.743749891,3.942400455,61.3861084
14,6,1976,43,29.58596039,27.80018997,27.77669144,3.963566374,1.463887095,89.68963623
15,6,1976,4,4.739367008,95.18395233,26.57899666,10.91639749,3.176883221,10.21728516
16,6,1976,0,0.840026855,5.945048332,3.701625109,35.85952437,5.343015671,0.659179688
17,6,1976,26,10.99381638,9.923934937,2.278189659,2.382514329,3.639970303,1.318359375
18,6,1976,19,6.587275982,9.910117149,2.332480907,4.022147076,7.207686424,5.932617188
19,6,1976,5,9.023151398,2.694466114,0.634697974,12.24090499,11.25268745,14.83154297
20,6,1976,0,5.143332481,7.276846886,1.436660647,16.14266541,9.854023933,35.67810059
21,6,1976,0,6.511125565,0.783239126,2.612100363,3.19832837,32.85728073,59.4909668
22,6,1976,121,278.8374634,24.26230621,1.893818378,1.29E-08,17.97512054,62.12768555
23,6,1976,1,34.66871262,21.81974411,5.79769659,1.11E-09,4.284501076,40.04516602
24,6,1976,3,5.549476147,12.25705338,3.719569206,0.101973396,3.733250856,18.95141602
25,6,1976,5,2.666773319,23.7132473,2.039191246,3.01E-10,1.901961327,7.04498291
26,6,1976,0,6.618161201,2.846660376,20.81314659,7.060123142,0.171498567,0.123596191
27,6,1976,25,54.88488388,3.940002441,8.451442719,4.023826495,0.789145112,3.378295898
28,6,1976,15,22.07670784,24.78293991,8.880617142,4.247918772,3.112929344,1.895141602
29,6,1976,56,24.4087677,14.66185474,1.881383419,5.330108386,1.276030779,3.50189209
30,6,1976,165,18.28407288,5.362092972,3.711377621,63.43170181,1.926755667,3.872680664
1,7,1976,218,139.8809967,29.16804504,5.516996861,103.2388989,3.272184849,1.318359375
2,7,1976,91,34.29373169,19.04543114,5.267865181,9.941913863,4.735636711,0.247192383
3,7,1976,23,9.996985435,3.400024414,3.495755911,3.101678321,7.591121197,1.071166992
4,7,1976,80,3.804533243,4.269276142,1.956609964,1.60706701,6.025613785,1.153564453
5,7,1976,95,3.654892445,2.409339666,0.581913233,5.601897673,5.731422901,1.73034668
6,7,1976,78,1.086890697,1.779368997,0.624949694,17.01565781,3.187962294,3.213500977
7,7,1976,9,11.42382908,3.42888546,0.521080256,0.023648833,5.397816658,3.707885742
8,7,1976,90,6.622955322,2.585159063,2.090206146,0.107430899,4.864578247,4.696655273
9,7,1976,16,15.17626381,5.729567528,6.585472107,0.007208156,1.275497079,10.546875
10,7,1976,9,39.69641495,3.42725873,5.563803673,3.551160393,8.419966698,8.898925781
11,7,1976,27,28.71875,0.703940153,2.11562252,2.070306614,6.587271214,17.46826172
12,7,1976,82,7.00633955,1.112298131,3.077659845,0.668700718,0.710422873,15.98510742
13,7,1976,12,6.018715858,55.34386444,3.166594028,13.28636175,2.756270885,15.03753662
14,7,1976,14,1.780029297,45.90312195,1.261043549,5.537391384,4.197453499,10.91766357
15,7,1976,6,306.4717407,1.325782299,3.008666515,0.149874401,3.393602371,14.3371582
16,7,1976,76,50.00035095,1.040039063,7.394753456,0.6156837,0.653651834,6.262207031
17,7,1976,0,1.42572701,1.332333326,2.960243225,42.86850113,6.470517159,4.779052734
18,7,1976,6,1.042584419,1.030565023,3.667759418,19.82812495,2.737097263,0.823974609
19,7,1976,20,0.476418018,1.217172384,1.1332376,6.611311203,1.645472288,0.988769531
20,7,1976,1,1.868491888,1.190403104,0.471260726,14.83524819,1.664783716,2.719116211
21,7,1976,1,53.05024338,0.371474952,0,15.32418639,2.499591589,2.224731445
22,7,1976,0,11.7221756,0.922378778,0.03773763,24.4795016,22.58063126,4.449462891
23,7,1976,85,32.62092972,0.763801336,0.082724102,2.281316993,3.075164795,3.604888916
24,7,1976,7,43.39529419,1.229226828,0.114812136,27.44564423,2.355784893,3.749084473
25,7,1976,34,8.020019531,2.732713223,0.191467792,1.37555282,1.491082788,5.026245117
26,7,1976,6,11.94411278,1.167194366,0.882359684,0.136901327,0.585749507,3.337097168
27,7,1976,0,8.111688614,1.279731274,0.515781701,4.460604326,4.948344231,6.262207031
28,7,1976,0,2.873476982,0.423878461,0.67228502,0.095759793,5.541316032,8.116149902
29,7,1976,0,13.51338387,0.195588738,2.874030113,63.12071476,1.056390643,12.19482422
30,7,1976,6,29.99554062,0.425914764,4.464935303,4.344110226,1.493385792,11.45324707
31,7,1976,4,10.898139,1.361676931,5.569563389,2.430360799,1.563892484,9.64050293
1,8,1976,33,4.795454979,1.666575313,14.90913391,22.26326689,1.861533165,29.2098999
2,8,1976,30,0.520019531,1.302180529,9.719620705,7.317023026,0.353294075,6.221008301
3,8,1976,14,1.496654034,0.34549287,0.622561514,16.24789266,0.487307191,5.108642578
4,8,1976,60,2.703894615,1.548903823,0.504114032,3.230181697,3.519347668,8.651733398
5,8,1976,36,3.5,3.606154203,2.297439337,0.752828203,2.1300385,10.71166992
6,8,1976,36,2.335612297,1.529721618,3.800280571,6.138728396,0.653464496,12.85400391
7,8,1976,36,4.739990234,1.519976854,5.218161106,11.53344428,3.623146057,10.46447754
8,8,1976,0,11.1933651,1.64827013,0.170885429,17.66173155,6.273604393,2.59552002
9,8,1976,2,69.15679169,1.030090094,0.693359971,0.10447951,3.198955774,3.790283203
10,8,1976,131,42.11099243,1.397041559,2.968216658,0.017796036,7.636389256,1.977539063
11,8,1976,7,43.17092133,1.212563276,3.293926477,0.310881279,0.985755682,0
12,8,1976,23,115.8932953,2.704442024,33.58759308,9.558551176,1.175400257,0
13,8,1976,7,6.680349827,2.025333405,3.967932224,0.31399917,1.734888315,0
14,8,1976,14,2.32929039,2.092902899,3.249159336,0.012366344,4.353683472,0.164794922
15,8,1976,27,66.91140747,3.20953083,0.576732218,6.479085633,4.400024414,0.329589844
16,8,1976,76,276.9501953,3.053842545,0.0251571,4.090597783,1.645339966,0.164794922
17,8,1976,23,38.06887817,4.0383358,0.52444315,0.043428133,3.544966698,0.082397461
18,8,1976,21,0.207724616,0.716589212,1.999601364,65.31448178,6.742190361,3.625488281
19,8,1976,19,11.24483109,2.710039854,1.560029864,59.84885059,3.504657745,0
20,8,1976,36,53.26672745,2.057847977,0.653257608,22.26340016,4.47112751,0
21,8,1976,29,2.980916023,0.225645527,1.141621828,21.698019,6.322779655,5.479431152
22,8,1976,87,0.604646206,0.380074501,2.721322536,24.84122263,2.650762081,3.089904785
23,8,1976,0,1.311082006,8.000727654,2.668350697,26.63156698,0.837019205,3.337097168
24,8,1976,2,0.54232657,4.920340538,1.825677633,12.18413226,1.69391489,8.548736572
25,8,1976,34,0.900316656,0.013764127,2.299598455,28.93361896,1.739905357,2.801513672
26,8,1976,7,2.068240881,0.121787593,1.815183878,28.45349936,2.708331585,4.655456543
27,8,1976,1,0.48537761,0.569392085,0.755038381,6.97012539,0.89234364,1.33895874
28,8,1976,2,0.48300612,1.373620629,5.693736076,6.738904933,0.254786909,3.646087646
29,8,1976,1,2.097342491,0.270682871,0.516859174,7.78464647,0.360416114,0.329589844
30,8,1976,80,0.763881266,0.141115159,1.549860716,8.160697413,0.483741224,0.04119873
31,8,1976,6,3.548922062,0.699481249,2.91811347,14.32819376,0.301003039,0.082397461
1,9,1976,4,2.182837963,8.610851288,1.198099971,3.777116281,0.425966799,0
2,9,1976,10,1.020019531,28.95303535,4.291122437,2.727261849,0.359811336,6.509399414
3,9,1976,29,6.433724403,3.55021286,4.719569683,0.002566498,0.388476789,0
4,9,1976,8,0.119995117,3.40011692,1.984386444,4.499270569,0.903082192,0.123596191
5,9,1976,5,163.5448303,3.900024414,2.018648624,0.175947712,1.676448345,0.288391113
6,9,1976,12,22.33158112,4.597128868,1.768691301,3.12E-09,2.807784796,1.194763184
7,9,1976,62,0.262923509,1.807776093,2.778577328,0.287396443,9.575139046,0
8,9,1976,0,1.169469237,2.140833855,2.200012207,0.58908669,4.027916431,0
9,9,1976,0,2.496567249,6.153754234,4.976727962,0.007797273,3.197833538,0
10,9,1976,18,2.135578871,1.463498354,0.729062915,4.639900464,1.600455761,0
11,9,1976,0,4.658297539,3.559997559,0.545536339,3.850234661,2.000510931,0
12,9,1976,0,1.587956309,1.119995117,3.020762444,0.785630231,0.594696164,0
13,9,1976,3,0.499428332,1.299987793,3.371721745,7.83159351,1.5133425,0
14,9,1976,3,0.819390118,0.903630495,2.317109585,26.61618786,0.743125796,0
15,9,1976,0,1.819854975,1.732895494,4.984670639,30.18876202,23.51108551,0
16,9,1976,17,0.927399158,2.140652418,9.150672913,27.34542349,406.7511902,0.659179688
17,9,1976,8,1.524041176,2.158484936,3.996803999,0.461630868,72.24930573,0.164794922
18,9,1976,0,1.194591641,1.583197236,1.292829037,6.098617846,2.920043945,3.213500977
19,9,1976,0,1.503676891,30.4198246,0.93231231,10.0365378,11.82182217,0.741577148
20,9,1976,0,0.910719156,1.817229152,1.410550475,4.112059018,124.2670822,0
21,9,1976,0,2.582977057,2.215504169,1.777138948,4.90533103,39.26791382,0.164794922
22,9,1976,0,1.977062821,4.939753532,2.413058519,14.39796053,0,1.071166992
23,9,1976,0,3.560962677,4.764266968,1.988565922,23.75669321,0.08001709,0.247192383
24,9,1976,3,0.764670193,0.190211311,3.069076777,0.241365395,29.11213875,0.329589844
25,9,1976,0,0.337777317,0.521408021,0.408109546,1.832726807,0.745087206,0
26,9,1976,0,2.68875885,2.501978159,2.442009211,3.363744391,1.302502394,0
27,9,1976,25,2.497750521,2.974858999,2.760259151,51.09513123,1.919050813,0
28,9,1976,0,1.41938746,2.97748971,1.343382955,58.95617791,3.24941659,0
29,9,1976,17,4.558106899,5.200723648,1.20787394,34.79068587,3.466729879,0
30,9,1976,0,1.445958614,2.812111378,0,100.8940816,3.36463356,0
1,10,1976,0,0.984633982,2.387001753,0,1.788735174,3.720462084,0
2,10,1976,0,0.897762775,0.577478528,2.826442719,2.10E-05,3.268631935,3.048706055
3,10,1976,0,1.190279365,1.038552403,1.109075189,4.77E-09,1.495805979,0
4,10,1976,0,0.7046628,2.336387396,1.283482313,1.34E-09,0.452971041,0.123596191
5,10,1976,4,2.420999527,2.452280045,2.464878798,7.49E-10,0.472808748,0
6,10,1976,0,2.061889648,2.206764221,2.850445271,5.09E-10,3.302978277,0
7,10,1976,0,1.880483031,3.507936001,2.708144188,1.949396927,1.152432919,0
8,10,1976,6,2.236414433,0.633705795,1.517920256,1.350963302,0,0
9,10,1976,82,2.132357121,1.280688524,0.616953254,0.01877422,0.002671855,0
10,10,1976,0,1.737841606,1.077085495,0.114237137,0.030323093,0,0
11,10,1976,0,1.183873892,2.108910561,0.012862897,2.914997516,0,0
12,10,1976,0,0.934102178,0.439504713,0,0.013250327,1.27983439,0
13,10,1976,0,3.92623806,0.520087779,0.033903603,28.19018858,2.296788216,0
14,10,1976,0,3.391099453,0.621701956,0.12828888,61.12335082,0.823060393,3.872680664
15,10,1976,0,1.191380978,1.621169329,0.403455555,1.998442062,1.962808609,0.494384766
16,10,1976,0,0.220031738,1.267536879,0.090893999,2.082159201,0.179328054,3.625488281
17,10,1976,0,0.287193477,0,0.638408661,0.088994605,0.004831824,2.224731445
18,10,1976,0,1.319994688,0.191836089,4.440002441,3.37E-06,0,2.389526367
19,10,1976,0,1.621548414,1.207271934,3.466655016,9.77E-08,0,2.471923828
20,10,1976,14,0.912671089,3.190687418,0.700407267,0.007114442,0.072982982,0
21,10,1976,9,0.228485927,1.987929106,0,5.003481021,0,0
22,10,1976,0,0.427512944,3.068089485,0.659090936,0.009314238,0,0
23,10,1976,114,1.011390805,0.55174315,1.55673945,0.002073892,0,0
24,10,1976,29,0.795840383,0.446442634,0.139040247,13.94883427,0.011043912,0
25,10,1976,2,11.66713524,1.284650564,0.014577508,0.028098076,0.064802177,0
26,10,1976,0,0.115340292,1.54058814,0.036487095,0.017286478,0.146568075,0
27,10,1976,0,0,0.541000366,0.082716115,0.005232241,0.082057297,0
28,10,1976,0,0.023607841,2.651279211,0.520717561,7.988908212,0.242413953,0
29,10,1976,0,0.524645567,1.141293526,0.178787276,0.00143316,0.069691017,0
30,10,1976,0,1.114109397,0.006498757,0,2.071991062,1.025426865,0
31,10,1976,0,1.451782107,0.083915763,0.042841945,9.399657953,2.592072725,0
1,11,1976,0,0.004053995,0,0,0.008550492,1.096314549,0
2,11,1976,0,12.90180588,0,0,0.026735176,1.487754583,0
3,11,1976,0,66.11665344,0,0,1.14E-07,0.958173394,0
4,11,1976,0,0.66003418,0,2.470766068,4.01E-09,0.269048125,0
5,11,1976,0,57.17458344,0,4.010493755,3.55E-10,0.059569109,0
6,11,1976,0,0.564935863,0,68.79453278,6.53E-12,0.001829719,0
7,11,1976,0,0.10709516,0,12.85193062,3.815639508,0.065166868,0
8,11,1976,0,0,0,0.404961377,22.93353332,0.125791669,0
9,11,1976,0,0,0,0.756985426,0.000918043,0.062782228,0
10,11,1976,0,0.033943113,0,1.092226386,1.35E-06,0.102701806,0
11,11,1976,0,1.132315397,0.127319083,1.731278181,3.07E-11,0.645500779,0
12,11,1976,0,0.398247123,0.140014648,0.310958385,1.08E-08,0.192270368,0
13,11,1976,0,0,0.502116382,0.107747883,1.11E-11,0.207680911,0
14,11,1976,0,0,0.066656612,0,1.07E-05,1.060640931,0
15,11,1976,0,0,0,0,4.02E-06,8.120205879,0
16,11,1976,0,0,0,0.003073517,2.49E-07,78.1809845,0
17,11,1976,0,0,0.014509944,0,0.001147824,60.19290161,0
18,11,1976,0,0,0.077875823,0,0.00363678,2.677363396,0
19,11,1976,0,0.273752093,0.027193952,0.001912052,0.002377307,19.08020973,0
20,11,1976,0,1.614178538,0,0,0.373322633,0.275537282,0
21,11,1976,0,2.307997704,0.001596769,0.96877861,0.045498991,0.003201859,0
22,11,1976,0,0.908393025,0.164570078,3.167470932,2.178408805,0,0
23,11,1976,0,0.387232393,0.043966196,2.615845203,0.728979069,0,0
24,11,1976,0,0.045814961,0.16003418,10.09708691,0.067367551,0.110730082,0
25,11,1976,0,0,0.334109247,0,3.94E-09,0.47841841,0
26,11,1976,0,0,0.720031738,0,2.28E-10,0,0
27,11,1976,45,0,0.08905375,0,19.00219903,0,0
28,11,1976,0,0,0,0,96.01239413,0,0
29,11,1976,0,0.104816437,8.430375099,0,0.204278931,0.015813729,0
30,11,1976,0,6.699913979,107.709198,0,2.60E-06,0.12964204,0
1,12,1976,0,2.173068047,5.04128027,0.526543796,1.50E-09,0.001810845,0
2,12,1976,0,1.985283136,0.06648083,23.20342445,5.49E-09,0.036959998,0
3,12,1976,0,0.148719087,0,60.98100281,2.53E-09,0.739035189,0
4,12,1976,0,0,0,40.49723434,2.023145207,2.019671679,0
5,12,1976,0,0,0.008344203,0,11.55390032,2.311609268,0
6,12,1976,0,0,0,0,0.638652695,1.001236916,0
7,12,1976,0,0.108432665,0.38685739,0,0.059114179,1.414269328,0
8,12,1976,0,0,0.213826746,0.009071235,2.69E-09,0.153462544,0
9,12,1976,0,0.007545174,0.063751325,0,5.65E-05,0.097098261,0
